"zip","renter","hs_graduate","college_graduate","median_household_income"
"01518","0.23607336956521738","0.29004130335016065","0.27397888939880677","54222.0"
"01519","0.1398161586840832","0.175454341485304","0.34574826116221674","108879.0"
"01520","0.07700695106991959","0.19156126291397121","0.29439026745196484","97650.0"
"01521","0.14366653176851477","0.31790963527490473","0.20087098530212302","75000.0"
"01522","0.10814332247557003","0.24339622641509434","0.24433962264150944","101227.0"
"01523","0.16682242990654206","0.24566900110578696","0.20880943604865462","98918.0"
"01524","0.18711608127264137","0.3397475687978481","0.17856403889923442","62736.0"
"01525","","","",""
"01527","0.24006698127568885","0.3446731363975685","0.20816892396288791","71151.0"
"01529","0.19077700568540745","0.31508739650413986","0.17111315547378106","81438.0"
"01531","0.07664562669071236","","","80000.0"
"01532","0.15423916045291355","0.17595162569389375","0.29589611419508327","107797.0"
"01534","0.21293888166449934","0.35147817925856406","0.20694509619896762","96016.0"
"01535","0.2295187165775401","0.39226869455006336","0.15494296577946767","68232.0"
"01536","0.19957865168539327","0.24273898826697443","0.25697249471052125","83917.0"
"01537","0.09766637856525497","0.36683417085427134","0.2198492462311558","72258.0"
"01540","0.1991998511350949","0.3529186358411036","0.2126708391876357","65366.0"
"01541","0.10291949277499263","0.17647058823529413","0.3139959432048682","114167.0"
"01542","0.22178988326848248","0.3248762376237624","0.13304455445544555","84271.0"
"01543","0.07949434787893521","0.2826867816091954","0.2848419540229885","94028.0"
"01545","0.19690521153358326","0.18350696623572235","0.2804066775448726","94273.0"
"01550","0.5259899472845408","0.37007454739084134","0.1039226127085552","43870.0"
"01560","0.4057486631016043","0.23121191604603927","0.2758970886932972","71797.0"
"01561","","","","63643.0"
"01562","0.2633640954205119","0.36313439849624063","0.15648496240601503","62901.0"
"01564","0.14596232380450533","0.22551662174303683","0.2842767295597484","87039.0"
"01566","0.09938861890578461","0.18733451015004413","0.2773609885260371","94167.0"
"01568","0.12041956136766108","0.21256420387198735","0.28644804425128406","111222.0"
"01569","0.18967287663194954","0.3129820749592613","0.23335143943508962","90313.0"
"01570","0.4517036765155686","0.3645499071102854","0.15546360412092552","48057.0"
"01571","0.19937190711838598","0.30658909484508184","0.20051413881748073","66339.0"
