"zip","renter","mortgage","hs_graduate","college_graduate","median_income","household_size"
"01376","0.44796557120500785","0.6933797909407665","0.29316960859554875","0.1557943207981581","","2.28"
"01378","","","","","29934.0","2.15"
"01379","","","","","","2.23"
"01420","0.4357584730079839","0.7527629454861542","0.3323004222024248","0.14172831854979276","23065.0","2.58"
"01430","0.07846127774953397","0.7928015564202334","0.2601183431952663","0.2923076923076923","41776.0","2.69"
"01431","0.13462147608489072","","0.37935656836461124","0.1483467381590706","31020.0","3.03"
"01432","0.31472826812658566","0.7483285577841452","0.30650436046511625","0.21057412790697674","","2.26"
"01434","","","0.35413533834586464","0.15789473684210525","","3.17"
"01436","0.16331658291457288","","0.38926426426426425","0.07807807807807808","","2.77"
"01438","","","","","19881.0","2.36"
"01440","0.4380252656060045","0.6650544135429263","0.37333895802573297","0.10243971032834141","23060.0","2.35"
"01450","0.11290764593039189","0.7448175182481752","0.13823096480663724","0.3693295865114412","54900.0","2.76"
"01451","0.06061890631623569","0.7534699272967614","0.08338461538461539","0.3464615384615385","","2.88"
"01452","0.06780040277466995","0.8236101578586136","0.3242533639645553","0.16015753199868724","","2.81"
"01453","0.39716013282450313","0.7237539193426317","0.32116963886884514","0.1797752808988764","","2.43"
"01460","0.11438912042114499","0.7581493165089379","0.1868377854051634","0.3351738546485599","","2.67"
"01462","0.2040983606557377","0.7084476974687405","0.27355467247788745","0.22997051660043585","36925.0","2.57"
"01463","0.17812026275896917","0.7057212416311625","0.28521303258145364","0.24536340852130326","36906.0","2.81"
"01464","0.29315315315315316","0.7614276768941766","0.37963122522833015","0.1714630363605032","","2.41"
"01467","","","","","70313.0","3.58"
"01468","0.0945179584120983","0.6311706629055007","0.3903123903123903","0.11512811512811513","","2.31"
"01469","0.15099078984091543","0.7374274661508704","0.3363119415109667","0.21872461413484973","35983.0","2.88"
"01473","0.10480172646344753","0.7607714402954452","0.19684129429892142","0.27946841294298924","","2.67"
"01474","0.12844513780551223","","0.30983733539891556","0.24167312161115415","41743.0","2.65"
